departamento,municipio,zona_geografica,tipo_comunidad,altitud_msnm,poblacion_total,menores_5,adultos_mayores,gestantes,personas_discapacidad,distancia_km,tiempo_acceso_min,acceso_vial,transporte_disponible,agua_potable,alcantarillado,puesto_salud_cercano,cobertura_salud_pct,cobertura_vacunacion_pct,casos_prioritarios_30d,enfermedades_cronicas,alerta_epidemiologica,ultima_brigada_dias,brigadas_ultimos_12m,demanda_insatisfecha_pct,conectividad,temporada,riesgo_inundacion,riesgo_deslizamiento,prioridad
Antioquia,Sabanalarga,Andina,Rural dispersa,2249,706,146,73,17,32,24.67,59.65,Regular,Terrestre,1,0,0,77.38,78.61,4,31,0,162,0,3.7,Regular,Lluvias,0.27,0.53,ALTA
Antioquia,Murindó,Andina,Afrodescendiente,1319,162,14,9,1,12,122.68,384.9,Regular,Limitado,0,0,0,77.61,98.0,0,28,0,183,5,37.17,Baja,Seca,0.19,0.37,ALTA
Huila,La Argentina,Andina,Campesina,837,727,156,125,21,51,19.5,70.99,Regular,Terrestre,1,1,1,85.64,88.84,0,61,0,281,1,21.58,Baja,Lluvias,0.37,0.3,MEDIA
Tolima,Purificación,Andina,Indígena,733,198,18,18,6,12,6.96,12.39,Bueno,Limitado,0,0,1,72.06,56.75,0,34,0,44,7,22.85,Regular,Transición,0.44,0.5,BAJA
Arauca,Cravo Norte,Orinoquía,Rural,344,207,18,36,9,15,78.62,222.97,Difícil,Terrestre,1,0,0,60.15,85.21,0,33,0,31,5,64.94,Regular,Lluvias,0.31,0.1,ALTA
Nariño,Imués,Andina,Rural dispersa,2514,652,104,88,20,45,33.05,55.31,Muy difícil,Terrestre + 4x4,1,1,0,60.97,58.86,1,89,0,608,1,46.44,Baja,Seca,0.24,0.59,ALTA
Córdoba,Montelíbano,Caribe,Campesina,215,108,18,9,3,5,22.15,36.26,Muy difícil,Limitado,0,0,0,77.63,63.3,0,15,1,248,0,45.91,Baja,Seca,0.43,0.25,CRÍTICA
Antioquia,Apartadó,Andina,Campesina,2104,303,64,19,13,14,11.1,24.73,Difícil,Limitado,1,1,0,80.17,73.65,3,25,0,289,1,50.54,Baja,Lluvias,0.21,0.41,CRÍTICA
Cundinamarca,Mosquera,Andina,Campesina,2876,567,105,74,8,6,32.22,56.43,Bueno,Terrestre,0,0,0,83.51,69.4,0,68,0,239,1,8.54,Buena,Seca,0.27,0.43,MEDIA
Huila,Tello,Andina,Campesina,1111,400,73,27,5,19,38.76,67.81,Regular,Terrestre,0,0,0,75.75,58.29,1,62,0,69,1,40.28,Baja,Seca,0.16,0.5,ALTA
Sucre,Guaranda,Caribe,Afrodescendiente,131,550,70,85,7,39,64.61,95.15,Difícil,Limitado,1,1,0,77.37,60.23,1,97,0,45,2,35.74,Baja,Lluvias,0.64,0.18,ALTA
Boyacá,Floresta,Andina,Rural dispersa,2128,256,54,26,11,13,41.22,54.11,Regular,Terrestre + 4x4,0,0,0,74.01,64.4,1,38,0,730,1,48.69,Regular,Seca,0.21,0.47,ALTA
Putumayo,Puerto Asís,Amazonía,Afrodescendiente,902,318,45,37,7,16,28.63,113.29,Difícil,Fluvial + Terrestre,0,1,0,53.56,61.3,0,15,0,165,0,50.16,Sin conexión,Lluvias,0.43,0.43,ALTA
Nariño,Yacuanquer,Andina,Indígena,1932,481,91,68,13,33,3.44,5.64,Bueno,No disponible,1,0,1,60.15,79.44,0,25,0,131,2,36.02,Baja,Seca,0.19,0.45,BAJA
Cundinamarca,Cota,Andina,Indígena,2233,535,115,33,19,21,24.27,30.01,Difícil,Limitado,0,0,0,77.61,73.02,0,91,0,253,0,58.76,Baja,Lluvias,0.18,0.48,ALTA
Meta,Puerto Concordia,Orinoquía,Campesina,524,271,25,36,11,20,21.66,25.45,Difícil,Terrestre + 4x4,0,0,0,78.76,41.98,0,34,0,186,1,10.73,Baja,Seca,0.37,0.02,ALTA
Huila,Colombia,Andina,Campesina,662,197,30,22,2,6,8.09,13.36,Regular,Limitado,0,0,0,55.26,66.21,1,33,0,19,1,35.88,Regular,Seca,0.44,0.52,MEDIA
Caldas,Belalcázar,Andina,Campesina,2590,353,34,57,14,8,64.5,82.81,Regular,No disponible,1,1,0,69.46,87.28,1,14,0,130,3,32.65,Regular,Lluvias,0.36,0.44,ALTA
Boyacá,Paya,Andina,Rural dispersa,3436,177,29,19,5,3,49.57,157.96,Bueno,Terrestre + 4x4,0,0,0,79.97,61.64,1,31,0,178,2,14.45,Baja,Transición,0.26,0.46,ALTA
Boyacá,Toca,Andina,Indígena,2169,93,11,12,2,6,10.78,36.34,Regular,Terrestre,0,0,1,58.71,67.16,0,8,0,730,1,49.67,Regular,Seca,0.33,0.56,MEDIA
Cesar,Valledupar,Caribe,Indígena,239,597,55,49,24,42,31.31,107.2,Bueno,Terrestre,1,0,0,98.0,51.7,2,102,0,26,3,24.22,Baja,Lluvias,0.11,0.31,ALTA
Meta,Fuente de Oro,Orinoquía,Afrodescendiente,475,225,30,16,8,7,26.94,39.77,Difícil,Terrestre,0,0,0,96.58,57.5,1,24,0,35,1,45.62,Buena,Lluvias,0.4,0.17,MEDIA
Caldas,Neira,Andina,Rural,2115,277,37,34,4,6,76.83,171.4,Regular,Terrestre,1,0,0,73.81,58.45,1,35,0,47,0,21.59,Buena,Lluvias,0.22,0.55,ALTA
Quindío,Calarcá,Andina,Campesina,1094,638,52,66,18,7,46.71,61.72,Bueno,Terrestre,1,1,0,63.07,69.54,2,34,0,24,2,16.88,Regular,Transición,0.31,0.36,BAJA
Sucre,Guaranda,Caribe,Campesina,84,248,28,37,10,11,12.71,15.08,Regular,No disponible,1,0,1,49.06,81.9,1,11,0,88,5,48.42,Regular,Lluvias,0.52,0.09,BAJA
Cundinamarca,San Juan de Rioseco,Andina,Rural,2304,129,12,16,5,7,18.91,68.03,Muy difícil,No disponible,1,0,1,93.34,77.62,1,7,0,730,0,11.93,Regular,Lluvias,0.24,0.53,MEDIA
Tolima,Ortega,Andina,Campesina,761,329,57,30,14,9,98.22,108.86,Difícil,Limitado,1,1,0,83.26,86.87,0,38,0,25,1,31.01,Sin conexión,Lluvias,0.37,0.54,MEDIA
Cesar,Bosconia,Caribe,Rural,508,1285,259,170,51,27,42.82,167.12,Regular,Limitado,0,1,0,90.46,63.66,3,85,0,275,1,13.25,Baja,Seca,0.22,0.37,ALTA
Caldas,Supía,Andina,Afrodescendiente,2592,129,14,8,4,1,20.68,39.91,Difícil,Limitado,0,1,0,70.06,81.01,0,13,0,207,0,23.1,Regular,Lluvias,0.16,0.5,MEDIA
Norte de Santander,Toledo,Andina,Rural,1388,167,30,13,4,2,22.24,29.22,Difícil,Terrestre,1,0,0,59.07,69.76,2,23,0,51,2,68.3,Baja,Lluvias,0.23,0.54,ALTA
Tolima,Guamo,Andina,Rural,861,221,32,14,2,13,24.83,69.76,Regular,Terrestre,0,0,0,73.8,66.94,0,16,0,51,1,22.11,Regular,Seca,0.31,0.37,MEDIA
Sucre,Tolú,Caribe,Rural dispersa,86,358,65,43,5,25,59.13,88.75,Regular,No disponible,1,0,0,70.48,61.64,0,61,0,36,0,19.04,Baja,Lluvias,0.39,0.06,ALTA
Cundinamarca,Cucunubá,Andina,Indígena,2659,177,25,20,2,13,29.8,42.82,Bueno,Terrestre,0,0,0,75.25,59.08,1,8,0,33,1,31.84,Regular,Seca,0.2,0.43,MEDIA
Santander,Villanueva,Andina,Afrodescendiente,1215,533,84,64,7,18,15.11,30.34,Regular,Terrestre,1,0,1,56.81,89.06,0,44,0,39,2,19.39,Regular,Seca,0.26,0.44,BAJA
Sucre,Los Palmitos,Caribe,Campesina,58,161,22,20,2,11,37.61,64.09,Muy difícil,Limitado,0,0,0,62.25,76.42,1,10,1,233,1,45.92,Sin conexión,Seca,0.6,0.11,CRÍTICA
Santander,Los Santos,Andina,Rural dispersa,960,744,144,122,23,20,17.44,23.47,Regular,Limitado,1,0,0,94.69,76.44,1,106,0,68,0,40.74,Baja,Seca,0.32,0.47,MEDIA
Boyacá,Chinavita,Andina,Campesina,2166,429,81,58,8,31,45.16,72.42,Regular,Terrestre + 4x4,1,0,0,48.93,82.71,1,42,1,242,2,32.94,Regular,Transición,0.17,0.58,CRÍTICA
Antioquia,Medellín,Andina,Indígena,1953,1764,252,138,26,26,6.45,21.54,Bueno,Terrestre + 4x4,0,1,0,81.34,64.64,6,136,0,127,2,41.92,Regular,Transición,0.33,0.61,MEDIA
Santander,Puerto Parra,Andina,Rural dispersa,1180,254,54,27,10,13,21.34,63.17,Regular,Limitado,0,0,0,72.51,43.75,1,24,0,0,0,27.07,Regular,Lluvias,0.3,0.41,MEDIA
Cundinamarca,Vergara,Andina,Rural dispersa,2013,584,88,29,6,14,56.62,95.68,Bueno,No disponible,1,1,0,68.07,56.71,1,94,0,181,1,34.03,Regular,Lluvias,0.14,0.44,MEDIA
Sucre,San Pedro,Caribe,Rural,6,553,44,79,23,7,37.51,89.07,Regular,Limitado,0,1,0,88.58,98.0,2,80,0,186,3,36.77,Buena,Lluvias,0.37,0.22,ALTA
Cundinamarca,Anapoima,Andina,Rural dispersa,2587,282,41,35,3,5,3.98,5.81,Regular,Limitado,1,0,1,83.79,85.01,0,42,0,350,2,19.94,Regular,Lluvias,0.16,0.46,MEDIA
Nariño,Nariño,Andina,Indígena,2516,294,44,29,3,10,43.45,67.12,Regular,Limitado,0,0,0,93.18,98.0,0,18,0,46,2,3.49,Buena,Seca,0.36,0.45,BAJA
Bolívar,San Estanislao,Caribe,Indígena,37,111,15,19,3,1,11.24,12.53,Difícil,No disponible,0,0,1,78.96,79.85,0,17,0,43,1,30.64,Regular,Transición,0.45,0.2,BAJA
Huila,Timaná,Andina,Rural dispersa,946,562,68,51,23,23,49.43,141.77,Muy difícil,No disponible,0,1,0,94.97,93.43,1,25,0,227,0,35.15,Baja,Transición,0.36,0.43,ALTA
Tolima,Mariquita,Andina,Rural,830,723,86,55,29,26,3.08,3.72,Muy difícil,Limitado,0,0,1,98.0,87.49,1,118,0,203,2,34.93,Regular,Lluvias,0.35,0.53,MEDIA
Atlántico,Suán,Caribe,Rural dispersa,0,675,81,35,26,46,39.89,115.54,Regular,Limitado,0,0,0,79.22,86.05,0,73,1,94,1,31.6,Regular,Transición,0.49,0.14,ALTA
Antioquia,Ituango,Andina,Rural,1672,529,53,75,19,13,26.06,74.13,Regular,Terrestre,1,0,0,87.33,47.84,0,37,0,256,0,38.87,Baja,Transición,0.19,0.48,ALTA
Córdoba,Purísima,Caribe,Afrodescendiente,212,472,74,55,7,30,39.69,68.3,Regular,Terrestre,0,1,0,65.13,86.82,0,52,1,58,1,22.12,Sin conexión,Seca,0.44,0.16,ALTA
Cauca,Mercaderes,Andina,Campesina,1918,370,51,36,17,21,52.92,75.54,Regular,Terrestre,0,1,0,76.33,60.13,2,39,0,730,0,24.09,Regular,Lluvias,0.34,0.57,ALTA
Antioquia,Olaya,Andina,Rural,1888,1114,147,181,43,61,19.66,26.12,Bueno,Terrestre,0,1,0,70.88,98.0,1,51,0,260,2,39.38,Baja,Transición,0.34,0.43,MEDIA
Nariño,Cumbitara,Andina,Indígena,2792,54,4,5,2,2,11.62,15.18,Difícil,No disponible,1,1,0,88.37,66.43,0,2,0,333,1,40.88,Regular,Seca,0.28,0.34,MEDIA
Valle del Cauca,Caicedonia,Andina,Afrodescendiente,1540,163,16,27,6,12,18.91,33.43,Bueno,Terrestre + 4x4,0,0,1,98.0,76.49,1,24,0,193,3,30.32,Regular,Transición,0.24,0.5,MEDIA
Bolívar,Cicuco,Caribe,Indígena,131,468,95,66,5,9,11.09,18.39,Bueno,Terrestre,0,1,1,73.13,67.29,1,21,0,88,1,55.59,Sin conexión,Transición,0.39,0.1,BAJA
Boyacá,Pesca,Andina,Rural,2368,497,76,39,14,36,29.62,75.44,Bueno,Terrestre,0,0,0,91.33,55.08,3,79,0,55,1,39.59,Baja,Transición,0.23,0.52,ALTA
Putumayo,Valle del Guamuez,Amazonía,Indígena,1358,235,21,24,2,10,19.77,66.06,Muy difícil,No disponible,1,0,0,71.07,41.84,3,21,0,82,1,18.95,Baja,Seca,0.3,0.5,ALTA
Boyacá,Tenza,Andina,Rural dispersa,2349,1167,185,123,26,80,21.31,39.7,Difícil,No disponible,1,0,0,57.98,73.2,1,143,1,227,1,29.45,Baja,Transición,0.12,0.54,ALTA
Antioquia,Concepción,Andina,Campesina,1542,453,70,39,12,5,41.11,77.9,Difícil,Terrestre,0,1,0,69.15,53.69,0,18,0,730,0,26.71,Baja,Transición,0.33,0.51,ALTA
Caldas,Chinchiná,Andina,Rural dispersa,2282,594,114,105,23,22,23.15,33.52,Bueno,Terrestre,0,1,0,80.02,91.02,1,45,0,52,2,2.0,Regular,Transición,0.34,0.57,BAJA
Santander,Cerrito,Andina,Afrodescendiente,1241,479,96,41,20,11,8.92,10.86,Regular,Limitado,0,0,1,60.33,53.62,2,20,0,2,3,29.19,Baja,Transición,0.27,0.64,MEDIA
Antioquia,La Estrella,Andina,Rural dispersa,1273,380,66,49,8,25,37.93,127.6,Regular,No disponible,0,0,0,58.85,80.23,0,25,1,89,0,28.32,Regular,Transición,0.25,0.44,ALTA
Huila,Teruel,Andina,Rural dispersa,832,834,110,144,29,47,10.05,13.39,Bueno,Terrestre,1,0,0,81.25,70.49,2,80,0,182,1,18.62,Regular,Seca,0.31,0.26,MEDIA
Boyacá,Cómbita,Andina,Indígena,2728,310,28,39,10,17,36.78,141.42,Muy difícil,Terrestre + 4x4,0,0,0,56.1,83.89,0,38,0,730,0,34.78,Buena,Lluvias,0.08,0.52,ALTA
Nariño,Iles,Andina,Indígena,2732,292,61,22,11,15,16.31,28.02,Difícil,Terrestre + 4x4,0,1,0,83.37,73.91,0,29,0,58,2,42.46,Buena,Lluvias,0.31,0.51,BAJA
Boyacá,El Espino,Andina,Campesina,2796,448,87,76,14,10,44.09,59.16,Difícil,Limitado,1,0,0,76.85,81.5,1,41,0,247,2,28.91,Regular,Lluvias,0.05,0.45,CRÍTICA
Magdalena,Chibolo,Caribe,Indígena,319,330,35,41,8,14,53.23,101.87,Muy difícil,Terrestre,0,0,0,62.92,82.13,0,50,1,730,0,51.2,Baja,Seca,0.37,0.46,CRÍTICA
Santander,Molagavita,Andina,Afrodescendiente,1098,116,13,9,2,8,69.43,86.51,Regular,Terrestre + 4x4,0,0,0,68.88,38.89,0,4,0,110,2,53.92,Regular,Transición,0.31,0.55,ALTA
Cundinamarca,Venecia,Andina,Rural dispersa,2323,128,14,15,4,3,25.11,63.35,Difícil,Limitado,0,0,0,67.88,90.13,1,8,0,119,2,3.04,Buena,Lluvias,0.15,0.45,MEDIA
Bolívar,Pinillos,Caribe,Afrodescendiente,152,749,159,113,25,52,45.38,86.92,Muy difícil,Terrestre + 4x4,0,0,0,85.99,86.1,3,43,0,216,1,33.11,Regular,Lluvias,0.39,0.12,CRÍTICA
Magdalena,Pueblo Viejo,Caribe,Campesina,267,61,5,8,0,2,22.38,35.94,Regular,Terrestre,1,0,0,91.15,67.2,0,8,0,222,0,20.74,Regular,Lluvias,0.4,0.35,MEDIA
Risaralda,Santa Rosa de Cabal,Andina,Rural,1909,65,11,9,0,1,34.72,68.38,Regular,Terrestre,1,1,0,82.67,48.01,0,9,0,140,2,55.54,Baja,Seca,0.25,0.32,MEDIA
Huila,Agrado,Andina,Rural dispersa,794,338,59,33,14,18,16.57,38.89,Difícil,Limitado,1,0,1,85.25,54.8,1,44,0,338,1,48.52,Buena,Lluvias,0.42,0.39,MEDIA
Antioquia,Jericó,Andina,Campesina,1377,461,92,70,12,11,66.13,89.27,Regular,Motocicleta,1,0,0,82.1,83.43,6,48,0,65,4,26.46,Buena,Seca,0.09,0.41,ALTA
Antioquia,Caldas,Andina,Indígena,2089,1502,301,189,49,119,24.61,48.3,Regular,Terrestre + 4x4,0,0,0,93.76,75.51,7,155,0,203,2,2.0,Regular,Lluvias,0.36,0.5,ALTA
Boyacá,San Mateo,Andina,Rural,2942,122,25,7,4,1,118.89,215.23,Regular,Motocicleta,0,0,0,89.21,74.5,1,17,0,162,1,33.1,Buena,Seca,0.31,0.56,CRÍTICA
Nariño,Policarpa,Andina,Indígena,2437,387,46,59,19,4,38.54,68.82,Difícil,Terrestre,1,1,0,84.84,66.91,0,26,0,142,0,26.8,Buena,Seca,0.33,0.52,MEDIA
Risaralda,Santuario,Andina,Rural dispersa,1631,235,30,20,11,5,56.82,74.0,Bueno,No disponible,1,1,0,81.4,82.74,1,25,0,54,1,27.59,Buena,Transición,0.21,0.35,MEDIA
Cesar,San Martín,Caribe,Indígena,439,259,44,39,11,8,61.32,72.74,Regular,Terrestre,0,0,0,76.64,25.0,1,41,0,71,2,7.97,Regular,Transición,0.29,0.3,ALTA
Huila,Rivera,Andina,Campesina,1150,354,42,23,15,7,31.64,54.82,Regular,No disponible,0,0,0,50.47,83.98,1,60,0,74,2,72.19,Sin conexión,Lluvias,0.25,0.38,ALTA
Norte de Santander,La Playa de Belén,Andina,Rural dispersa,1586,94,11,7,4,7,44.97,69.91,Bueno,Fluvial,0,0,0,77.18,71.2,2,13,0,168,1,59.18,Baja,Seca,0.19,0.45,ALTA
Putumayo,Puerto Caicedo,Amazonía,Afrodescendiente,1510,103,8,14,1,5,30.06,133.9,Regular,Limitado,1,0,0,70.9,55.31,0,13,0,476,1,31.47,Buena,Transición,0.56,0.28,ALTA
Boyacá,Busbanzá,Andina,Indígena,3189,1184,126,104,41,61,34.44,62.19,Regular,Terrestre + 4x4,1,0,0,67.03,83.22,1,188,1,730,4,41.96,Buena,Seca,0.12,0.4,ALTA
Casanare,Sácama,Orinoquía,Indígena,335,97,17,14,3,7,47.47,186.46,Regular,Motocicleta,0,0,0,75.39,57.95,1,6,0,75,2,43.91,Sin conexión,Lluvias,0.41,0.0,ALTA
Caldas,Risaralda,Andina,Rural,2532,99,8,7,1,5,9.75,11.72,Regular,Limitado,1,0,0,72.83,65.4,1,5,0,17,1,45.45,Baja,Lluvias,0.1,0.56,BAJA
Santander,Santa Bárbara,Andina,Rural dispersa,1270,1088,151,166,12,70,17.8,66.38,Regular,Terrestre,0,0,1,69.96,79.67,1,179,0,31,0,34.59,Regular,Seca,0.32,0.53,MEDIA
Sucre,Chalán,Caribe,Afrodescendiente,0,242,34,21,11,4,58.93,83.48,Difícil,Terrestre,1,0,0,80.44,55.27,1,33,1,121,0,45.7,Baja,Seca,0.58,0.11,CRÍTICA
Cauca,Suárez,Andina,Indígena,1670,265,54,46,7,16,124.44,315.33,Difícil,Limitado,1,0,0,98.0,63.43,0,36,0,86,1,29.93,Regular,Transición,0.28,0.56,ALTA
Cauca,La Sierra,Andina,Indígena,1556,190,34,29,3,12,96.86,119.12,Difícil,Terrestre + 4x4,0,0,0,74.32,88.28,0,15,0,88,0,36.58,Regular,Transición,0.2,0.67,ALTA
Casanare,Monterrey,Orinoquía,Rural,469,109,20,19,1,4,5.91,20.12,Difícil,Terrestre + 4x4,1,0,0,59.5,64.8,0,16,0,263,0,27.17,Sin conexión,Seca,0.31,0.09,MEDIA
Antioquia,Nariño,Andina,Campesina,1703,211,18,26,5,2,29.76,115.56,Difícil,Terrestre + 4x4,1,0,0,79.13,68.88,0,16,0,71,1,36.51,Regular,Transición,0.17,0.49,MEDIA
Risaralda,Santa Rosa de Cabal,Andina,Rural dispersa,1175,628,79,85,28,39,25.59,41.37,Bueno,Terrestre,1,0,0,96.21,95.28,1,36,0,263,2,35.13,Regular,Transición,0.16,0.38,MEDIA
Caldas,Manizales,Andina,Rural dispersa,1650,686,119,107,17,14,39.95,81.48,Regular,Terrestre,1,0,0,85.72,97.44,2,86,0,100,1,48.92,Baja,Lluvias,0.15,0.46,ALTA
Putumayo,Santiago,Amazonía,Rural,1044,50,8,7,2,2,21.17,107.05,Muy difícil,Fluvial,1,0,0,67.23,46.91,0,5,0,111,1,32.84,Regular,Lluvias,0.27,0.46,ALTA
Nariño,Ipiales,Andina,Indígena,2968,282,40,14,3,7,46.48,69.28,Difícil,Limitado,1,0,0,77.63,71.16,0,46,0,186,1,12.97,Buena,Transición,0.28,0.48,ALTA
Cesar,Tamalameque,Caribe,Indígena,369,227,36,18,9,3,23.67,43.44,Bueno,Terrestre + 4x4,0,0,0,81.52,68.75,0,37,0,51,2,2.0,Regular,Lluvias,0.37,0.41,MEDIA
Cauca,Argelia,Andina,Rural,2083,267,24,19,13,10,19.7,23.67,Muy difícil,Limitado,0,1,1,95.12,55.82,1,15,0,39,1,50.98,Baja,Lluvias,0.27,0.43,MEDIA
Nariño,Providencia,Andina,Indígena,2217,724,138,58,13,35,5.63,12.94,Difícil,Limitado,0,0,1,77.35,75.7,1,69,0,238,0,40.31,Sin conexión,Lluvias,0.35,0.64,MEDIA
Tolima,Roncesvalles,Andina,Indígena,947,962,138,99,45,26,17.73,27.72,Muy difícil,Limitado,1,0,1,80.5,55.3,3,53,0,152,0,72.89,Baja,Seca,0.44,0.42,ALTA
Santander,Betulia,Andina,Indígena,1186,134,21,13,3,2,10.77,27.67,Bueno,Terrestre,0,0,1,70.7,86.59,0,6,0,357,1,21.54,Buena,Seca,0.33,0.51,MEDIA
Antioquia,Envigado,Andina,Rural,1266,206,39,34,5,6,13.8,19.65,Regular,No disponible,1,1,1,73.29,91.11,0,36,1,405,0,11.81,Baja,Transición,0.14,0.42,ALTA
